degree_name,degree_category,stem
"Industrial Production Technologies/Technicians, Other","Engineering Technologies/Technicians
",Yes
Industrial Technology/Technician,"Engineering Technologies/Technicians
",Yes
Dental Assisting/Assistant,Other Trade,No
Nursing Assistant/Aide and Patient Care Assistant/Aide,Nursing and Related,No
Legal Assistant/Paralegal,"Legal Professions and Studies
",No
Aircraft Powerplant Technology/Technician,"Transportation and Materials Moving
",Yes
Airframe Mechanics and Aircraft Maintenance Technology/Technician,"Transportation and Materials Moving
",Yes
Avionics Maintenance Technology/Technician,"Transportation and Materials Moving
",Yes
Industrial Mechanics and Maintenance Technology/Technician,"Engineering Technologies/Technicians
",Yes
"Mechanic and Repair Technologies/Technicians, Other","Engineering Technologies/Technicians
",No
Small Engine Mechanics and Repair Technology/Technician,"Engineering Technologies/Technicians
",No
Cabinetmaking and Millwork,Other Trade,No
Commercial and Advertising Art,"Business
",No
Pharmacy Technician/Assistant,"Biological and Biomedical Sciences
",No
"Sales, Distribution, and Marketing Operations, General","Business
",No
Carpentry/Carpenter,Other Trade,No
Mason/Masonry,Other Trade,No
Civil Engineering Technologies/Technicians,"Engineering Technologies/Technicians
",Yes
Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,Nursing and Related,No
Massage Therapy/Therapeutic Massage,Nursing and Related,No
Radiologic Technology/Science - Radiographer,Nursing and Related,Yes
Substance Abuse/Addiction Counseling,"Health and Kinesiology
",No
Court Reporting and Captioning/Court Reporter,"Legal Professions and Studies
",No
"Agricultural Production Operations, General","Agricultural/Animal/Plant/Veterinary Science
",No
Office Management and Supervision,Other Trade,No
"Building/Construction Finishing, Management, and Inspection, Other","Engineering Technologies/Technicians
",No
"Engineering Technologies/Technicians, General","Engineering Technologies/Technicians
",Yes
"Allied Health Diagnostic, Intervention, and Treatment Professions, Other","Health and Kinesiology
",No
Dental Hygiene/Hygienist,Nursing and Related,No
Electroneurodiagnostic/Electroencephalographic Technology/Technologist,Nursing and Related,No
Occupational Therapist Assistant,"Psychology
",No
Respiratory Care Therapy/Therapist,Nursing and Related,No
"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",Other Trade,Yes
"Mechanics and Repairers, General","Engineering Technologies/Technicians
",Yes
Automotive Engineering Technology/Technician,"Engineering Technologies/Technicians
",Yes
Machine Tool Technology/Machinist,"Engineering Technologies/Technicians
",No
"Business Administration, Management and Operations, Other","Business
",No
Operations Management and Supervision,"Business
",No
"Computer Programming/Programmer, General","Computer and Information Sciences
",Yes
Computer Systems Networking and Telecommunications,"Computer and Information Sciences
",Yes
Network and System Administration/Administrator,"Computer and Information Sciences
",Yes
Family Practice Nurse/Nursing,Nursing and Related,No
Medical Office Management/Administration,Nursing and Related,No
"Practical Nursing, Vocational Nursing and Nursing Assistants, Other",Nursing and Related,No
"Homeland Security, Other","Law Enforcement, Firefighting and Related
",No
Religious Education,"Philosophy and Religious Studies
",No
"Funeral Service and Mortuary Science, General",Other Trade,No
Medical Insurance Specialist/Medical Biller,Other Trade,No
Respiratory Therapy Technician/Assistant,Nursing and Related,No
Nuclear/Nuclear Power Technology/Technician,"Engineering Technologies/Technicians
",Yes
Cell Biology and Anatomy,"Biological and Biomedical Sciences
",Yes
Biology Teacher Education,Education,No
Chemistry Teacher Education,Education,No
Social Studies Teacher Education,Education,No
Creative Writing,"English Language and Literature
",No
"Health and Wellness, General","Health and Kinesiology
",No
"Sports, Kinesiology, and Physical Education/Fitness, Other","Health and Kinesiology
",No
Lay Ministry,"Philosophy and Religious Studies
",No
"Fine Arts and Art Studies, Other","Visual and Performing Arts
",No
"Music Performance, General","Visual and Performing Arts
",No
"Music, Other","Visual and Performing Arts
",No
Plumbing Technology/Plumber,Other Trade,No
Foodservice Systems Administration/Management,Other Trade,No
Upholstery/Upholsterer,Other Trade,No
"Communication, General","Communications and Journalism
",No
"Engineering/Engineering-Related Technologies/Technicians, Other","Engineering Technologies/Technicians
",Yes
Public Health/Community Nurse/Nursing,Nursing and Related,No
"Parks, Recreation, and Leisure Studies","Health and Kinesiology
",No
"Applied Horticulture/Horticulture Operations, General","Agricultural/Animal/Plant/Veterinary Science
",No
"Hospitality Administration/Management, Other","Business
",No
"Graphic and Printing Equipment Operator, General Production","Communications and Journalism
",No
Non-Profit/Public/Organizational Management,"Public Administration and Social Service
",No
Organizational Behavior Studies,"Psychology
",No
Broadcast Journalism,"Communications and Journalism
",No
Digital Communication and Media/Multimedia,"Communications and Journalism
",Yes
Photojournalism,"Communications and Journalism
",No
Dietetics/Dietitian,"Health and Kinesiology
",No
Physician Assistant,"Health and Kinesiology
",No
Pre-Occupational Therapy Studies,"Health and Kinesiology
",No
International Relations and Affairs,"Public Administration and Social Service
",No
Commercial Photography,"Visual and Performing Arts
",No
Keyboard Instruments,"Visual and Performing Arts
",No
Music Pedagogy,"Visual and Performing Arts
",No
Music Theory and Composition,"Visual and Performing Arts
",No
Voice and Opera,"Visual and Performing Arts
",No
Medical Office Assistant/Specialist,Other Trade,No
Nail Technician/Specialist and Manicurist,Other Trade,No
Equestrian/Equine Studies,Other Trade,No
Aesthetician/Esthetician and Skin Care Specialist,Other Trade,No
Forest Technology/Technician,"Natural Resources and Conservation
",Yes
"Communication, Journalism, and Related Programs, Other","Communications and Journalism
",No
Child Development,"Family and Human Sciences
",No
"Visual and Performing Arts, General","Visual and Performing Arts
",No
Environmental/Environmental Engineering Technology/Technician,"Engineering Technologies/Technicians
",No
Water Quality and Wastewater Treatment Management and Recycling Technology/Technician,"Natural Resources and Conservation
",No
Latin American Studies,"Social Sciences
",No
Human Resources Development,"Business
",No
Education/Teaching of the Gifted and Talented,Education,No
"Educational, Instructional, and Curriculum Supervision",Education,No
"Student Counseling and Personnel Services, Other",Education,No
"Teacher Education and Professional Development, Specific Levels and Methods, Other",Education,No
Engineering Physics/Applied Physics,Engineering,Yes
"Environmental Control Technologies/Technicians, Other","Natural Resources and Conservation
",Yes
"Foods, Nutrition, and Wellness Studies, General","Family and Human Sciences
",No
"Classics and Classical Languages, Literatures, and Linguistics, General","Social Sciences
",No
Latin Language and Literature,"Foreign Language and Literature
",No
"Romance Languages, Literatures, and Linguistics, General","Foreign Language and Literature
",No
Athletic Training/Trainer,"Health and Kinesiology
",No
Emergency Room/Trauma Nursing,Nursing and Related,No
Medical Informatics,"Computer and Information Sciences
",Yes
Nurse Anesthetist,Nursing and Related,No
Nursing Administration,Nursing and Related,No
Nursing Education,Nursing and Related,No
Pharmaceutical Sciences,"Biological and Biomedical Sciences
",No
Health Law,"Legal Professions and Studies
",No
Programs for Foreign Lawyers,"Legal Professions and Studies
",No
International/Globalization Studies,"Public Administration and Social Service
",No
"Sports, Kinesiology, and Physical Education/Fitness, General","Health and Kinesiology
",Yes
"Philosophy and Religious Studies, Other","Philosophy and Religious Studies
",No
"Religion/Religious Studies, Other","Philosophy and Religious Studies
",No
"Human Services, General","Family and Human Sciences
",No
Youth Services/Administration,"Family and Human Sciences
",No
Religious/Sacred Music,"Visual and Performing Arts
",No
Graphic Design,"Communications and Journalism
",Yes
"Visual and Performing Arts, Other","Visual and Performing Arts
",No
Physical Fitness Technician,"Health and Kinesiology
",No
"Corrections and Criminal Justice, Other","Law Enforcement, Firefighting and Related
",No
"Computer and Information Sciences and Support Services, Other","Computer and Information Sciences
",Yes
Environmental Biology,"Natural Resources and Conservation
",Yes
Communication Management and Strategic Communications,"Business
",No
Radio and Television,"Communications and Journalism
",No
Adult and Continuing Education and Teaching,Education,No
