degree_name,degree_category,stem
Printmaking,Other Trade,No
Sculpture,"Visual and Performing Arts
",No
Word Processing,Other Trade,No
Acupuncture and Oriental Medicine,"Health Professions and Related
",No
Transpersonal/Spiritual Psychology,"Psychology
",No
Early Childhood Program Administration,"Family and Human Sciences
",No
"Data Analytics, General","Computer and Information Sciences
",Yes
"Biochemistry, Biophysics and Molecular Biology, Other","Biological and Biomedical Sciences
",Yes
Pre-Art Therapy,"Psychology
",No
"Data Analytics, Other","Computer and Information Sciences
",Yes
Performance and Sport Psychology,"Psychology
",No
Developmental Biology and Embryology,"Biological and Biomedical Sciences
",Yes
"Neurobiology and Neurosciences, Other","Biological and Biomedical Sciences
",Yes
Engineering Mechanics,Engineering,Yes
Mathematics and Computer Science,"Computer and Information Sciences
",Yes
Geochemistry,"Natural Resources and Conservation
",Yes
International Marketing,Business,No
Knowledge Management,Business,No
Quality Control Technology/Technician,"Engineering Technologies/Technicians
",Yes
Education/Teaching of Individuals with Hearing Impairments Including Deafness,"Education
",No
Agricultural Communication/Journalism,"Agricultural/Animal/Plant/Veterinary Science
",No
"Agricultural Mechanization, General","Agricultural/Animal/Plant/Veterinary Science
",No
Dairy Science,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Packaging Science,"Transportation and Materials Moving
",Yes
Polymer Chemistry,"Biological and Biomedical Sciences
",Yes
Marine Engineering Technology/Technician,"Engineering Technologies/Technicians
",Yes
"Mechanical Engineering Related Technologies/Technicians, Other","Engineering Technologies/Technicians
",Yes
Marine Science/Merchant Marine Officer,"Biological and Biomedical Sciences
",Yes
Labor Studies,Social Sciences,No
Clinical Nurse Specialist,Nursing and Related,No
Plant Protection and Integrated Pest Management,"Agricultural/Animal/Plant/Veterinary Science
",No
Directing and Theatrical Production,"Visual and Performing Arts
",No
Theatre/Theatre Arts Management,"Visual and Performing Arts
",No
Structural Engineering,Engineering,Yes
European Studies/Civilization,Social Sciences,No
Trade and Industrial Teacher Education,Education,No
Chinese Language and Literature,"Foreign Language and Literature
",No
Assistive/Augmentative Technology and Rehabilitation Engineering,"Health Professions and Related
",No
Cultural Resource Management and Policy Analysis,"Public Administration and Social Service
",No
"Natural Resources and Conservation, Other","Natural Resources and Conservation
",No
Italian Studies,Foreign Langauge and Literature,No
Magnetic Resonance Imaging (MRI) Technology/Technician,"Natural Resources and Conservation
",No
Theoretical and Mathematical Physics,"Mathematics and Statistics
",Yes
Conducting,"Engineering Technologies/Technicians
",No
Percussion Instruments,"Visual and Performing Arts
",No
"Dance, Other","Visual and Performing Arts
",No
Plastics and Polymer Engineering Technology/Technician,"Engineering Technologies/Technicians
",Yes
Labor and Industrial Relations,"Legal Professions and Studies
",No
Filipino/Tagalog Language and Literature,"Foreign Language and Literature
",No
Electrocardiograph Technology/Technician,"Engineering Technologies/Technicians
",No
Library and Archives Assisting,Other Trade,No
Russian Studies,Foreign Langauge and Literature,No
Cognitive Psychology and Psycholinguistics,"Psychology
",No
Turf and Turfgrass Management,"Agricultural/Animal/Plant/Veterinary Science
",No
Dairy Husbandry and Production,"Agricultural/Animal/Plant/Veterinary Science
",No
Airline Flight Attendant,Other Trade,No
Vietnamese Language and Literature,"Foreign Language and Literature
",No
Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments,"Education
",No
Psychology Teacher Education,Education,No
Health/Medical Claims Examiner,"Health Professions and Related
",No
"Energy, Environment, and Natural Resources Law","Law Enforcement, Firefighting and Related
",No
Intellectual Property Law,"Law Enforcement, Firefighting and Related
",No
International Law and Legal Studies,"Law Enforcement, Firefighting and Related
",No
"Biomathematics, Bioinformatics, and Computational Biology, Other","Computer and Information Sciences
",Yes
Education/Teaching of Individuals with Specific Learning Disabilities,"Education
",No
English as a Second Language,"Education
",No
Neurobiology and Behavior,"Biological and Biomedical Sciences
",Yes
"Classical, Ancient Mediterranean, and Near Eastern Studies and Archaeology","Area, Ethnic, Cultural, Gender, and Group Studies
",No
Telecommunications Engineering,Engineering,Yes
Korean Language and Literature,"Foreign Language and Literature
",No
"Advanced/Graduate Dentistry and Oral Sciences, Other","Health Professions and Related
",No
Endodontics/Endodontology,"Health Professions and Related
",No
Oral/Maxillofacial Surgery,"Health Professions and Related
",No
Orthodontics/Orthodontology,"Health Professions and Related
",No
Pathology/Pathologist Assistant,"Health Professions and Related
",Yes
Pediatric Dentistry/Pedodontics,"Health Professions and Related
",No
Periodontics/Periodontology,"Health Professions and Related
",No
Prosthodontics/Prosthodontology,"Health Professions and Related
",No
Radiologist Assistant,"Health Professions and Related
",No
Brass Instruments,"Visual and Performing Arts
",No
Woodwind Instruments,"Visual and Performing Arts
",No
"Data Entry/Microcomputer Applications, Other","Computer and Information Sciences
",No
"Computer Programming, Other","Computer and Information Sciences
",Yes
Ancient Studies/Civilization,Social Sciences,No
English Literature (British and Commonwealth),English Language and Literature],No
Health Policy Analysis,"Public Administration and Social Service
",No
Sociology and Anthropology,Social Sciences,No
Construction Project Management,"Architecture and Related Services
",No
Business and Economic Journalism,Business,No
Digital Humanities,Social Sciences,No
Optometric Technician/Assistant,"Health Professions and Related
",No
"Cell/Cellular Biology and Anatomical Sciences, Other","Biological and Biomedical Sciences
",Yes
"Alternative and Complementary Medicine and Medical Systems, General","Health Professions and Related
",No
"Computer Programming, Specific Platforms","Computer and Information Sciences
",Yes
"Mechatronics, Robotics, and Automation Engineering Technology/Technician","Engineering Technologies/Technicians
",Yes
Geography and Environmental Studies,Social Sciences,No
History and Language/Literature,History,No
Theatre and Dance,"Visual and Performing Arts
",No
"Hispanic and Latin American Languages, Literatures, and Linguistics, General",Foreign Languages and Literature,No
Geospatial Intelligence,"Computer and Information Sciences
",Yes
International Policy Analysis,"Public Administration and Social Service
",No
Musical Instrument Fabrication and Repair,"Visual and Performing Arts
",No
Renal/Dialysis Technologist/Technician,"Health Professions and Related
",No
"General Merchandising, Sales, and Related Marketing Operations, Other",Business,No
Asian Bodywork Therapy,"Health Professions and Related
",No
Portuguese Language and Literature,Foreign Language and Literature,No
Business Family and Consumer Sciences/Human Sciences,"Family and Human Sciences
",No
"Ecology, Evolution, Systematics and Population Biology, Other","Biological and Biomedical Sciences
",No
"Entrepreneurial and Small Business Operations, Other",Business,No
"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, General","Foreign Language and Literature
",No
"International Business, Trade, and Tax Law","Law Enforcement, Firefighting and Related
",No
"Audiovisual Communications Technologies/Technicians, Other",Communication and Journalism,No
Golf Course Operation and Grounds Management,Business,No
Japanese Studies,Foreign Language and Literature,No
"Accounting and Related Services, Other",Business,No
Montessori Teacher Education,"Education
",No
Computational and Applied Mathematics,"Mathematics and Statistics
",Yes
Railroad and Railway Transportation,"Transportation and Materials Moving
",No
Ecology,"Natural Resources and Conservation
",Yes
Education/Teaching of Individuals with Traumatic Brain Injuries,"Education
",No
"Quality Control and Safety Technologies/Technicians, Other","Engineering Technologies/Technicians
",No
Facilities Planning and Management,Business,No
Industrial and Physical Pharmacy and Cosmetic Sciences,"Health Professions and Related
",No
Atomic/Molecular Physics,Physical Sciences,Yes
Comparative Group Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Podiatric Medicine/Podiatry,"Health Professions and Related
",No
Archives/Archival Administration,"Liberal Arts and Humanities
",No
Computer Hardware Engineering,"Computer and Information Sciences
",Yes
French Studies,Foreign Language and Literature,No
"Human Resources Management and Services, Other",Business,No
Anesthesiologist Assistant,"Health Professions and Related
",No
Comparative and Laboratory Animal Medicine,"Agricultural/Animal/Plant/Veterinary Science
",No
Structural Biology,"Biological and Biomedical Sciences
",Yes
Earth Science Teacher Education,"Education
",No
Animal Physiology,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Publishing,Communication and Journalism,No
Paleontology,"Social Sciences
",Yes
Women's Ministry,"Philosophy and Religious Studies
",No
Ayurvedic Medicine/Ayurveda,"Health Professions and Related
",No
Chiropractic,"Health Professions and Related
",No
International Agriculture,"Agricultural/Animal/Plant/Veterinary Science
",No
"Soil Sciences, Other","Agricultural/Animal/Plant/Veterinary Science
",No
"Veterinary Preventive Medicine, Epidemiology, and Public Health","Agricultural/Animal/Plant/Veterinary Science
",Yes
Population Biology,"Biological and Biomedical Sciences
",Yes
Health Occupations Teacher Education,"Education
",No
Textile Sciences and Engineering,Engineering,No
Medicinal and Pharmaceutical Chemistry,"Health Professions and Related
",Yes
Urban Forestry,"Natural Resources and Conservation
",No
Scandinavian Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Southeast Asian Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Molecular Pharmacology,"Health Professions and Related
",Yes
Molecular Toxicology,"Health Professions and Related
",Yes
"Computer Engineering, Other","Computer and Information Sciences
",Yes
American Literature (United States),English Language and Literature,No
Ancient/Classical Greek Language and Literature,"Foreign Language and Literature
",No
"Classics and Classical Languages, Literatures, and Linguistics, Other","Foreign Language and Literature
",No
"East Asian Languages, Literatures, and Linguistics, Other","Foreign Language and Literature
",No
"Germanic Languages, Literatures, and Linguistics, General","Foreign Language and Literature
",No
"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other","Foreign Language and Literature
",No
"Scandinavian Languages, Literatures, and Linguistics","Foreign Language and Literature
",No
"Slavic Languages, Literatures, and Linguistics, General","Foreign Language and Literature
",No
Oral Biology and Oral and Maxillofacial Pathology,"Health Professions and Related
",No
"Astronomy and Astrophysics, Other",Physical Sciences,Yes
"Atmospheric Sciences and Meteorology, Other",Physical Sciences,Yes
Musicology and Ethnomusicology,"Visual and Performing Arts
",No
"Philosophy, Other","Philosophy and Religious Studies
",No
Folklore Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Computational Biology,"Biological and Biomedical Sciences
",Yes
Endocrinology,"Health Professions and Related
",Yes
Nuclear Engineering,Engineering,Yes
Operations Research,Business,No
"Celtic Languages, Literatures, and Linguistics","Foreign Language and Literature
",No
Dutch/Flemish Language and Literature,"Foreign Language and Literature
",No
Topology and Foundations,"Natural Resources and Conservation
",No
Buddhist Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Logic,"Philosophy and Religious Studies
",No
Chinese Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Geriatric Nurse/Nursing,Nursing and Related,No
"Pharmacy, Pharmaceutical Sciences, and Administration, Other","Health Professions and Related
",Yes
Social Psychology,"Psychology
",No
Geotechnical and Geoenvironmental Engineering,Engineering,Yes
Clinical and Industrial Drug Development,"Health Professions and Related
",No
"Materials Sciences, Other","Natural Resources and Conservation
",Yes
"Educational Assessment, Evaluation, and Research, Other",Education,No
Environmental Geosciences,"Natural Resources and Conservation
",Yes
Chaplain/Chaplaincy Studies,"Philosophy and Religious Studies
",No
Aquatic Biology/Limnology,"Biological and Biomedical Sciences
",No
"Romance Languages, Literatures, and Linguistics, Other","Foreign Language and Literature
",No
Spanish and Iberian Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
"Architectural History and Criticism, General","Architecture and Related Services
",No
Comparative Law,"Law Enforcement, Firefighting and Related
",No
Molecular Genetics,"Biological and Biomedical Sciences
",Yes
"Pharmacology and Toxicology, Other","Health Professions and Related
",Yes
Advanced General Dentistry,"Health Professions and Related
",No
Pharmacoeconomics/Pharmaceutical Economics,Business,Yes
Signal/Geospatial Intelligence,Computer and Information Sciences,Yes
"Historic Preservation and Conservation, General","Natural Resources and Conservation
",No
Apparel and Accessories Marketing Operations,Business,No
Talmudic Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
"Precision Systems Maintenance and Repair Technologies/Technicians, Other","Engineering Technologies/Technicians
",No
Pharmaceutical Marketing and Management,Business,No
Ethics,"Philosophy and Religious Studies
",No
Religious Institution Administration and Management,"Philosophy and Religious Studies
",No
Land Use Planning and Management/Development,"Natural Resources and Conservation
",No
Brewing Science,Other Trades,No
Auditing,Business,No
"Energy Systems Engineering, General",Engineering,Yes
Cybersecurity Defense Strategy/Policy,"Computer and Information Sciences
",Yes
Culinary Science/Culinology,"Visual and Performing Arts
",No
Agricultural Business Technology/Technician,"Agricultural/Animal/Plant/Veterinary Science
",No
Farm/Farm and Ranch Management,"Agricultural/Animal/Plant/Veterinary Science
",No
Agricultural/Farm Supplies Retailing and Wholesaling,"Agricultural/Animal/Plant/Veterinary Science
",No
"Dental Services and Allied Professions, Other","Health Professions and Related
",No
"Woodworking, General",Other Trade,No
Engineering Chemistry,Engineering,Yes
Military History,"History
",No
Molecular Biophysics,"Biological and Biomedical Sciences
",Yes
International Finance,Business,No
Genome Sciences/Genomics,"Biological and Biomedical Sciences
",Yes
Maternal/Child Health and Neonatal Nurse/Nursing,Nursing and Related,No
Occupational Health and Industrial Hygiene,"Health Professions and Related
",No
"Bilingual, Multilingual, and Multicultural Education, Other","Foreign Language and Literature
",No
Applied Engineering,Engineering,Yes
Biochemical Engineering,"Biological and Biomedical Sciences
",Yes
"Dietetics and Clinical Nutrition Services, Other","Health and Kinesiology
",No
Education/Teaching of Individuals in Secondary Special Education Programs,Education,No
Nurse Midwife/Nursing Midwifery,Nursing and Related,No
Mammography Technology/Technician,"Health and Kinesiology
",No
Online Educator/Online Teaching,Education,No
Virology,"Health Professions and Related
",Yes
Perfusion Technology/Perfusionist,"Health Professions and Related
",No
Naval Architecture and Marine Engineering,Engineering,Yes
"Genetics, Other","Biological and Biomedical Sciences
",Yes
Cytogenetics/Genetics/Clinical Genetics Technology/Technologist,"Health Professions and Related
",Yes
Gene/Genetic Therapy,"Health Professions and Related
",No
Palliative Care Nursing,Nursing and Related,No
Personality Psychology,"Psychology
",No
Psychometrics and Quantitative Psychology,"Psychology
",Yes
Naturopathic Medicine/Naturopathy,"Health Professions and Related
",No
Traditional Chinese Medicine and Chinese Herbology,"Health Professions and Related
",No
Fire Systems Technology,"Law Enforcement, Firefighting and Related
",No
Agricultural and Food Products Processing,"Agricultural/Animal/Plant/Veterinary Science
",No
"Computer Engineering Technologies/Technicians, Other","Engineering Technologies/Technicians
",Yes
Hydraulics and Fluid Power Technology/Technician,"Engineering Technologies/Technicians
",No
Consumer Economics,Business,No
Biomechanics,"Biological and Biomedical Sciences
",Yes
Ocean Engineering,Engineering,Yes
"Zoology/Animal Biology, Other","Agricultural/Animal/Plant/Veterinary Science
",Yes
Anthrozoology,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Aerospace Physiology and Medicine,"Physical Sciences
",No
Facial Treatment Specialist/Facialist,Other Trade,No
Surveying Engineering,Engineering,Yes
Latin American and Caribbean Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Education/Teaching of Individuals with Vision Impairments Including Blindness,Education,No
Engineering Design,Engineering,Yes
Space Systems Operations,Business,Yes
Political Communication,"Communications and Journalism
",No
Business and Personal/Financial Services Marketing Operations,Business,No
Roofer,Other Trade,No
Ophthalmic Laboratory Technology/Technician,"Engineering Technologies/Technicians
",No
Vehicle and Vehicle Parts and Accessories Marketing Operations,Business,No
Women's Health Nurse/Nursing,Nursing and Related,No
Cardiopulmonary Technology/Technologist,"Health Professions and Related
",No
Osteopathic Medicine/Osteopathy,"Health Professions and Related
",No
Critical Incident Response/Special Police Operations,"Law Enforcement, Firefighting and Related
",No
Movement Therapy and Movement Education,"Education
",No
Laser and Optical Engineering,Engineering,Yes
Medical Office Computer Specialist/Assistant,Nursing and Related,No
Plant Molecular Biology,"Biological and Biomedical Sciences
",Yes
History and Political Science,"History
",No
Rural Sociology,Social Sciences,No
Healthcare Information Privacy Assurance and Security,"Health Professions and Related
",No
Medical Illustration/Medical Illustrator,"Health Professions and Related
",No
Social Entrepreneurship,Business,No
Data Visualization,"Computer and Information Sciences
",Yes
3-D Modeling and Design Technology/Technician,"Engineering Technologies/Technicians
",Yes
"Theatre Literature, History and Criticism",English Language and Literature,No
High Performance and Custom Engine Technician/Mechanic,"Engineering Technologies/Technicians
",No
Administration of Special Education,"Education
",No
"Parts, Warehousing, and Inventory Management Operations",Business,No
"Ophthalmic and Optometric Support Services and Allied Professions, Other","Health Professions and Related
",No
Worship Ministry,"Philosophy and Religious Studies
",No
Pre-Architecture Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Earth Systems Science,Physical Sciences,No
Lactation Consultant,"Health Professions and Related
",No
"Specialized Merchandising, Sales, and Marketing Operations, Other",Business,No
Mortuary Science and Embalming/Embalmer,Other Trade,No
Human-Centered Technology Design,"Computer and Information Sciences
",No
Financial Analytics,Business,No
"Apparel and Textiles, Other",Other Trade,No
Wood Science and Wood Products/Pulp and Paper Technology/Technician,"Engineering Technologies/Technicians
",No
Agricultural and Horticultural Plant Breeding,"Agricultural/Animal/Plant/Veterinary Science
",No
Animal Health,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Large Animal/Food Animal and Equine Surgery and Medicine,"Agricultural/Animal/Plant/Veterinary Science
",No
Small/Companion Animal Surgery and Medicine,"Agricultural/Animal/Plant/Veterinary Science
",No
Veterinary Infectious Diseases,"Agricultural/Animal/Plant/Veterinary Science
",No
Veterinary Physiology,"Agricultural/Animal/Plant/Veterinary Science
",No
Commonwealth Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Environmental Chemistry,"Physical Sciences
",Yes
Education/Teaching of Individuals in Junior High/Middle School Special Education Programs,Education,No
Pacific Area/Pacific Rim Studies,Physical Sciences,No
"Botany/Plant Biology, Other","Agricultural/Animal/Plant/Veterinary Science
",Yes
Reproductive Biology,"Biological and Biomedical Sciences
",Yes
Radiation Protection/Health Physics Technician,"Health Professions and Related
",No
Adult Literacy Tutor/Instructor,Education,No
Business Machine Repair,"Engineering Technologies/Technicians
",No
European History,History,No
Mathematical Biology,"Biological and Biomedical Sciences
",Yes
Geography Teacher Education,Education,No
"Family and Consumer Sciences/Human Sciences Business Services, Other","Family and Human Sciences
",No
"Movement and Mind-Body Therapies and Education, Other","Education
",No
"Housing and Human Environments, Other",Social Sciences,No
Greenhouse Operations and Management,Business,No
Dance Therapy/Therapist,"Visual and Performing Arts
",No
Acoustics,"Visual and Performing Arts
",No
"Communications Technologies/Technicians and Support Services, Other","Communications and Journalism
",No
"Science, Technology, Engineering, and Mathematics (STEM) Educational Methods",Education,No
Catholic Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Analytical Chemistry,"Biological and Biomedical Sciences
",Yes
Theoretical Chemistry,"Biological and Biomedical Sciences
",Yes
Chemical Process Technology,"Engineering Technologies/Technicians
",Yes
Agricultural Power Machinery Operation,"Agricultural/Animal/Plant/Veterinary Science
",No
"Transportation and Materials Moving, Other","Transportation and Materials Moving
",No
Latin Teacher Education,"Education
",No
"Alternative and Complementary Medical Support Services, Other","Health Professions and Related
",No
Financial Risk Management,Business,No
Driver and Safety Teacher Education,"Education
",No
Blood Bank Technology Specialist,"Health Professions and Related
",No
"Applied Horticulture/Horticultural Business Services, Other","Agricultural/Animal/Plant/Veterinary Science
",No
Health Unit Manager/Ward Supervisor,"Health Professions and Related
",No
Concrete Finishing/Concrete Finisher,"Natural Resources and Conservation
",No
Polish Language and Literature,"Foreign Language and Literature
",No
Natural Products Chemistry and Pharmacognosy,"Natural Resources and Conservation
",No
"South Asian Languages, Literatures, and Linguistics, General","Foreign Language and Literature
",No
Education Entrepreneurship,Business,No
Analysis and Functional Analysis,Business,Yes
Hospitality and Recreation Marketing Operations,Business,No
South Asian Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Ural-Altaic and Central Asian Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Western European Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Children's and Adolescent Literature,"English Language and Literature
",No
Ballet,"Visual and Performing Arts
",No
"Agricultural Mechanization, Other","Agricultural/Animal/Plant/Veterinary Science
",No
"Carpet, Floor, and Tile Worker",Other Trade,No
Glazier,Other Trade,No
"Health Aides/Attendants/Orderlies, Other","Health Professions and Related
",No
Medication Aide,"Health Professions and Related
",No
Fire/Arson Investigation and Prevention,"Law Enforcement, Firefighting and Related
",No
Boilermaking/Boilermaker,Other Trade,No
"Woodworking, Other",Other Trade,No
Dietitian Assistant,"Health Professions and Related
",No
Plant Genetics,"Agricultural/Animal/Plant/Veterinary Science
",Yes
"Parks, Recreation, and Leisure Facilities Management, Other",Business,No
"Agricultural and Domestic Animal Services, Other","Agricultural/Animal/Plant/Veterinary Science
",No
"Medical Illustration and Informatics, Other","Health Professions and Related
",No
Agricultural Animal Breeding,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Veterinary Microbiology and Immunobiology,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Plant Physiology,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Electromechanical Engineering,Engineering,Yes
Condensed Matter and Materials Physics,Physical Sciences,Yes
Elementary Particle Physics,Physical Sciences,Yes
Inorganic Chemistry,Physical Sciences,Yes
Organic Chemistry,Physical Sciences,Yes
Physical Chemistry,Physical Sciences,Yes
"Sanskrit and Classical Indian Languages, Literatures, and Linguistics","Foreign Language and Literature
",No
Aromatherapy,"Health Professions and Related
",No
Dog/Pet/Animal Grooming,"Agricultural/Animal/Plant/Veterinary Science
",No
Education/Teaching of Individuals with Intellectual Disabilities,Education,No
Special Products Marketing Operations,Business,No
Chemical Engineering Technology/Technician,"Engineering Technologies/Technicians
",Yes
Radiation Biology/Radiobiology,"Biological and Biomedical Sciences
",Yes
Orthoptics/Orthoptist,"Health Professions and Related
",No
Veterinary Office Management/Administration,"Agricultural/Animal/Plant/Veterinary Science
",No
"Command & Control (C3, C4I) Systems and Operations","Engineering Technologies/Technicians
",No
Industrial Radiologic Technology/Technician,"Engineering Technologies/Technicians
",No
Children and Youth Library Services,"Family and Human Sciences
",No
"Agricultural Public Services, Other","Agricultural/Animal/Plant/Veterinary Science
",No
Strategic Intelligence,Business,No
Printing Management,Business,No
Health Professions Education,Education,No
"Precision Production, Other","Engineering Technologies/Technicians
",No
"Nuclear and Industrial Radiologic Technologies/Technicians, Other","Engineering Technologies/Technicians
",No
"American Sign Language, Other",English Language and Literature,No
Franchising and Franchise Operations,Business,No
Zymology/Fermentation Science,"Agricultural/Animal/Plant/Veterinary Science
",No
Architectural Design,"Architecture and Related Services
",Yes
Appalachian Studies,Foreign Language and Literature,No
College/Postsecondary/University Teaching,"Education
",No
Clinical and Translational Science,"Foreign Language and Literature
",No
Healthcare Innovation,Business,No
Physics and Astronomy,Physical Sciences,Yes
Credit Management,Business,No
Atmospheric Chemistry and Climatology,Physical Sciences,Yes
Church Planting,"Philosophy and Religious Studies
",No
Animal Genetics,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Parasitology,"Health Professions and Related
",Yes
Wind Energy System Installation and Repair Technology/Technician,"Engineering Technologies/Technicians
",No
Composite Materials Technology/Technician,"Engineering Technologies/Technicians
",No
Terrorism and Counterterrorism Operations,"Law Enforcement, Firefighting and Related
",No
Power Plant Technology/Technician,"Engineering Technologies/Technicians
",No
Forest Resources Production and Management,Business,No
Maritime Studies,"Biological and Biomedical Sciences
",No
Sales and Marketing Operations/Marketing and Distribution   Teacher Education,Business,No
Architectural Conservation,"Architecture and Related Services
",No
Healthcare Environment Design/Architecture,"Architecture and Related Services
",No
Sustainable Design/Architecture,"Architecture and Related Services
",No
Applied Engineering Technologies/Technicians,"Engineering Technologies/Technicians
",Yes
Systematic Biology/Biological Systematics,"Biological and Biomedical Sciences
",Yes
"African Languages, Literatures, and Linguistics","Foreign Language and Literature
",No
"Bosnian, Serbian, and Croatian Languages and Literatures","Foreign Language and Literature
",No
"Germanic Languages, Literatures, and Linguistics, Other","Foreign Language and Literature
",No
Hindi Language and Literature,"Foreign Language and Literature
",No
Indonesian/Malay Languages and Literatures,"Foreign Language and Literature
",No
Modern Greek Language and Literature,"Foreign Language and Literature
",No
Swedish Language and Literature,"Foreign Language and Literature
",No
Thai Language and Literature,"Foreign Language and Literature
",No
Turkish Language and Literature,"Foreign Language and Literature
",No
Asian History,"History
",No
Physical and Biological Anthropology,"Biological and Biomedical Sciences
",No
"Rehabilitation and Therapeutic Professions, General","Health and Kinesiology
",No
"Physical Science Technologies/Technicians, Other","Engineering Technologies/Technicians
",No
Holocaust and Related Studies,"History
",No
Architectural Studies,"Architecture and Related Services
",No
Medical/Health Humanities,"Health Professions and Related
",No
Teaching French as a Second or Foreign Language,"Foreign Language and Literature
",No
"Traffic, Customs, and Transportation Clerk/Technician","Transportation and Materials Moving
",No
"Medicine, Other","Health Professions and Related
",No
Applied/Public Sociology,"Psychology
",No
Brewery/Brewpub Operations/Management,Business,No
"Precision Production Trades, General","Engineering Technologies/Technicians
",No
Cheminformatics/Chemistry Informatics,Physical Sciences,Yes
Power Plant Engineering,Engineering,Yes
Geothermal Energy Technology/Technician,"Engineering Technologies/Technicians
",Yes
Hematology Technology/Technician,"Engineering Technologies/Technicians
",Yes
Pre-Physician Assistant,"Health Professions and Related
",No
Law Enforcement Record-Keeping and Evidence Management,"Law Enforcement, Firefighting and Related
",No
Geothermal Energy System Installation and Repair Technology/Technician,"Engineering Technologies/Technicians
",No
Audio Engineering Technology/Technician,"Engineering Technologies/Technicians
",No
Paper Science and Engineering,Engineering,Yes
Norwegian Language and Literature,"Foreign Language and Literature
",No
Communication Arts and Literature Teacher Education,"Education
",No
International Teaching and Learning,"Public Administration and Social Service
",No
Play Therapy/Therapist,"Visual and Performing Arts
",No
Drama Therapy/Therapist,"Visual and Performing Arts
",No
"Somatic Bodywork and Related Therapeutic Services, Other","Health and Kinesiology
",No
Watchmaking and Jewelrymaking,Other Trade,No
Receptionist,Other Trade,No
Wine Steward/Sommelier,Other Trade,No
Taxidermy/Taxidermist,Other Trade,No
Linguistics of ASL and Other Sign Languages,"Foreign Language and Literature
",No
"Family and Consumer Economics and Related Services, Other","Family and Human Sciences
",No
Temporomandibular Disorders and Orofacial Pain,"Health Professions and Related
",No
Cultural Studies and Comparative Literature,"English Language and Literature
",No
Work and Family Studies,"Family and Human Sciences
",No
Meat Cutting/Meat Cutter,Other Trade,No
Engine Machinist,Other Trade,No
Well Drilling/Driller,Other Trade,No
"Veterinary/Animal Health Technologies/Technicians, Other","Agricultural/Animal/Plant/Veterinary Science
",No
Solar Energy System Installation and Repair Technology/Technician,"Engineering Technologies/Technicians
",Yes
Ceramic Sciences and Engineering,Engineering,Yes
Hearing Instrument Specialist,"Health Professions and Related
",No
Comprehensive Transition and Postsecondary (CTP) Program,Education,No
Economics and Computer Science,Computer and Information Sciences,Yes
"Religious Music and Worship, Other","Philosophy and Religious Studies
",No
Textile Science,Other Trade,Yes
Computer Typography and Composition Equipment Operator,Computer and Information Sciences,No
"Teaching Assistants/Aides, Other",Education,No
Neuropharmacology,"Health Professions and Related
",No
"Security System Installation, Repair, and Inspection Technology/Technician","Engineering Technologies/Technicians
",No
Forensic Nursing,Nursing and Related,No
Slavic Studies,Foreign Language and Literature,No
Wind Energy Technology/Technician,"Engineering Technologies/Technicians
",No
Thanatology,Other Trade,No
Comparative Psychology,"Psychology
",No
Tourism Promotion Operations,Business,No
Risk Management,Business,No
Military Technology and Applied Sciences Management,"Engineering Technologies/Technicians
",Yes
Real Estate and Land Development Law,"Law Enforcement, Firefighting and Related
",No
Semiconductor Manufacturing Technology/Technician,"Engineering Technologies/Technicians
",Yes
Sound Arts,"Visual and Performing Arts
",No
Irish Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Public Finance,Business,No
Integrated Circuit Design Technology/Technician,"Engineering Technologies/Technicians
",No
Trauma Counseling,"Psychology
",No
Metal Arts,"Visual and Performing Arts
",No
Linguistics and Computer Science,"Multi/Interdisciplinary Studies
",No
Mathematical Economics,"Mathematics and Statistics
",Yes
Energy and Environmental Policy,"Natural Resources and Conservation
",No
"Veterinary Administrative Services, General","Agricultural/Animal/Plant/Veterinary Science
",No
